
﻿Ticker,close,date,high,low,month,open,volume,Daily_Return,Cumulative_return,sector
TECHM,1142.15,11/12/2023 5:30,1147.15,1140.0,2023-11,1146.0,86328,0.003514475,-0.060886367,SOFTWARE
TECHM,1131.35,11/13/2023 5:30,1142.15,1128.0,2023-11,1140.6,435537,-0.009455851,-0.069766486,SOFTWARE
TECHM,1173.75,11/15/2023 5:30,1178.85,1143.5,2023-11,1145.0,2816201,0.03747735,-0.034903799,SOFTWARE
TECHM,1207.2,11/16/2023 5:30,1214.95,1167.4,2023-11,1175.0,2294942,0.028498403,-0.007400099,SOFTWARE
TECHM,1202.75,11/17/2023 5:30,1213.95,1198.0,2023-11,1212.2,1176628,-0.003686216,-0.011059036,SOFTWARE
TECHM,1211.8,11/20/2023 5:30,1222.5,1202.75,2023-11,1204.9,1077366,0.007524423,-0.003617826,SOFTWARE
TECHM,1204.5,11/21/2023 5:30,1221.15,1200.4,2023-11,1219.95,1129326,-0.006024096,-0.009620128,SOFTWARE
TECHM,1215.4,11/22/2023 5:30,1218.0,1204.0,2023-11,1205.0,750622,0.009049398,-0.000657787,SOFTWARE
TECHM,1210.9,11/23/2023 5:30,1220.9,1206.95,2023-11,1215.0,651637,-0.003702485,-0.004357836,SOFTWARE
TECHM,1197.85,11/24/2023 5:30,1214.95,1195.1,2023-11,1212.05,884921,-0.010777108,-0.015087979,SOFTWARE
TECHM,1202.4,11/28/2023 5:30,1209.0,1186.0,2023-11,1195.1,910795,0.003798472,-0.011346818,SOFTWARE
TECHM,1221.7,11/29/2023 5:30,1234.6,1206.65,2023-11,1207.0,1898448,0.016051231,0.004522283,SOFTWARE
TECHM,1220.95,11/30/2023 5:30,1228.3,1208.7,2023-11,1222.0,2978406,-0.000613899,0.003905608,SOFTWARE
TECHM,1220.55,12/1/2023 5:30,1226.8,1211.55,2023-12,1226.8,1017856,-0.000327614,0.003576714,SOFTWARE
TECHM,1223.9,12/4/2023 5:30,1249.2,1218.0,2023-12,1238.0,1581599,0.002744664,0.006331196,SOFTWARE
TECHM,1220.6,12/5/2023 5:30,1226.25,1208.85,2023-12,1224.0,1499843,-0.002696299,0.003617826,SOFTWARE
